ROUND,GAME,TEAM,HOME,2P,2PA,3PA,3P,FT,FTA,ORB,DRB,AST,TOV,STL,PTS
1,game_1,team_10,1,19,34,20,7,7,16,9,23,12,23,4,66
1,game_1,team_2,0,21,40,22,10,9,11,8,24,18,16,13,81
1,game_2,team_11,1,18,42,25,8,15,23,10,31,13,13,4,75
1,game_2,team_1,0,26,45,22,6,19,27,11,35,25,13,9,89
1,game_3,team_6,1,22,44,32,13,10,13,14,26,20,11,3,93
1,game_3,team_4,0,25,47,13,4,19,26,8,27,17,15,8,81
2,game_4,team_8,1,15,33,25,8,15,24,12,23,16,17,9,69
2,game_4,team_10,0,17,36,18,8,17,29,11,28,17,17,10,75
2,game_5,team_11,1,21,44,22,7,9,13,7,20,22,12,10,72
2,game_5,team_6,0,21,40,30,13,9,11,13,32,23,16,9,90
2,game_6,team_1,1,29,54,20,12,9,13,14,28,27,10,6,103
2,game_6,team_7,0,17,42,30,13,13,17,15,22,15,12,5,86
2,game_7,team_3,1,20,47,25,5,6,18,25,32,12,12,6,61
2,game_7,team_5,0,19,45,13,1,22,31,12,29,12,10,6,63
2,game_8,team_0,1,36,54,17,5,13,18,13,30,28,11,11,100
2,game_8,team_8,0,18,43,21,6,19,30,17,19,16,15,5,73
3,game_9,team_10,1,21,45,22,3,11,14,18,34,8,14,6,62
3,game_9,team_9,0,13,35,28,6,10,16,12,27,10,12,8,54
3,game_10,team_8,1,24,46,25,8,16,24,15,20,30,11,9,88
3,game_10,team_3,0,23,42,20,8,17,22,11,26,23,17,5,87
3,game_11,team_4,1,14,33,25,7,19,29,8,24,18,14,7,68
3,game_11,team_2,0,20,40,24,13,12,19,10,29,24,12,7,91
3,game_12,team_7,1,18,40,27,12,11,27,14,25,22,11,12,83
3,game_12,team_11,0,26,44,22,5,9,13,12,28,19,20,8,76
3,game_13,team_6,1,25,44,32,9,8,9,19,34,22,13,7,85
3,game_13,team_5,0,18,50,15,1,16,27,16,23,13,14,6,55
3,game_14,team_0,1,30,56,25,7,14,21,15,24,16,10,10,95
3,game_14,team_1,0,21,47,24,7,25,34,21,31,20,20,3,88
3,game_15,team_2,1,30,50,25,8,18,21,19,21,23,12,11,102
3,game_15,team_3,0,20,44,22,10,16,21,16,20,19,14,9,86
3,game_16,team_5,1,24,40,28,5,8,13,5,25,14,14,12,71
3,game_16,team_4,0,23,42,19,7,12,20,9,33,23,20,5,79
4,game_17,team_10,1,24,42,23,8,12,22,9,25,20,9,11,84
4,game_17,team_1,0,18,29,20,4,11,15,5,28,18,23,4,59
4,game_18,team_8,1,20,44,34,8,18,28,21,34,20,14,7,82
4,game_18,team_4,0,20,47,24,7,20,29,11,32,26,14,8,81
4,game_19,team_2,1,21,38,24,12,11,18,11,33,24,14,3,89
4,game_19,team_6,0,14,33,29,11,12,13,5,21,15,10,5,73
4,game_20,team_7,1,18,49,37,14,11,15,14,34,15,13,7,89
4,game_20,team_0,0,21,47,30,10,19,23,12,41,22,15,8,91
5,game_21,team_10,1,22,48,28,7,2,8,18,33,17,10,5,67
5,game_21,team_7,0,22,51,17,2,16,27,16,33,11,10,6,66
5,game_22,team_3,1,29,44,25,9,5,10,9,23,23,14,14,90
5,game_22,team_1,0,26,44,16,6,11,22,11,25,22,18,9,81
5,game_23,team_6,1,23,38,26,12,26,29,14,29,24,10,7,108
5,game_23,team_8,0,12,39,26,12,14,19,12,17,17,12,6,74
5,game_24,team_2,1,26,42,23,7,13,17,13,30,22,17,10,86
5,game_24,team_5,0,20,46,17,5,10,13,8,19,17,16,10,65
5,game_25,team_0,1,23,44,26,6,4,8,18,29,13,16,4,68
5,game_25,team_11,0,22,43,30,10,11,19,15,26,24,6,10,85
5,game_26,team_9,1,25,53,18,4,22,29,13,22,18,10,10,84
5,game_26,team_4,0,27,43,18,5,18,22,6,33,21,17,6,87
5,game_27,team_9,1,24,44,26,10,13,22,13,28,21,12,10,91
5,game_27,team_7,0,21,34,36,10,8,11,12,29,14,14,3,80
5,game_28,team_3,1,23,43,21,7,20,26,15,30,11,12,5,87
5,game_28,team_9,0,26,49,29,4,12,15,19,21,18,8,8,76
5,game_29,team_5,1,18,37,19,10,20,24,8,27,15,12,7,86
5,game_29,team_11,0,19,41,25,9,19,22,10,22,18,8,9,84
